Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2009.03.20,2009,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,Surfing,M,Injured,N,Bronze whaler shark?
2009.03.19.b,2009,Unprovoked,AUSTRALIA,New South Wales,South Broulee,Surfing,M,No injury,N,
2009.03.19.a,2009,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,Surfing,F,No injury,N,
2009.03.18.a,2009,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,F,Bitten,N,3' to 4' shark
2009.03.17.R,2009,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island,Feeding fish,F,Injured,N,Blacktip reef shark pup
2009.03.17,2009,Unprovoked,USA,Hawaii,Alenuihaha Channel,Swimming,M,Bitten,N,Thought to involve a cookie cutter shark
2009.03.16.R,2009,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,Bitten,N,"Wobbegong shark, 60cm"
2009.03.06,2009,Unprovoked,NEW CALEDONIA,South Province,Bourail,Surfing,M,Fatal,Y,
2009.03.02,2009,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,Fishing,M,Injured,N,"Blue shark, 1m"
2009.03.01.b,2009,Boat,NEW ZEALAND,North Island,Taranaki,Fishing,M,No injury,N,
2009.03.01.a,2009,Unprovoked,AUSTRALIA,New South Wales,Avalon,Surfing,M,Injured,N,2.6 m shark
2009.02.22,2009,Unprovoked,AUSTRALIA,Queensland,Batt Reef,Fishing,M,Severed,N,
2009.02.18,2009,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,No injury,N,
2009.02.12,2009,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Surfing,M,Severed,N,"White shark, 2.5m "
2009.02.11,2009,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour","Diving, but on the surface when bitten by the shark",M,Severed,N,"Bull shark, 2.7 m "
2009.02.08,2009,Sea Disaster,USA,Puerto Rico,Quebradillas,Air Disaster,M,Fatal,Y,
2009.02.07.b,2009,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,Surfing,M,No injury,N,"White shark, 12' "
2009.02.07.a,2009,Unprovoked,AUSTRALIA,New South Wales,Sandon,Surfing,M,No injury,N,
2009.01.27.R,2009,Provoked,AZORES,,Onboard the fishing vessel Nuevo Cedes ,Fishing,M,Bitten,N,
2009.01.25,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,Spearfishing,M,Severed,N,Bull shark
2009.01.24.c,2009,Boat,NEW ZEALAND,North Island,Alderman Islands,Fishing,0,No injury,N,
2009.01.24.b,2009,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,Injured,N,
2009.01.24.a,2009,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,Fatal,Y,Tiger shark
2009.01.18,2009,Boat,AUSTRALIA,Victoria,Off Tower Hill,Fishing,M,No injury,N,"White shark, 5.5 m "
2009.01.16,2009,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,Surfing,M,No injury,N,
2009.01.13.R,2009,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",,0,Fatal,Y,
2009.01.12,2009,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",Snorkeling,M,Injured,N,"Dusky shark, 2m"
2009.01.11.b,2009,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,Surfing,F,Severed,N,"White shark, 5m"
2009.01.11.a,2009,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,Surfing,M,Severed,N,"White shark, 3.5m"
2009.01.10.R,2009,Boat,NEW ZEALAND,North Island,Hawkes Bay,Fishing,0,No injury,N,"Mako shark, 3m"
2009.01.10.a,2009,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,Surfing,M,Bitten,N,
2009.01.06,2009,Unprovoked,NEW ZEALAND,North Island,Haumoana ,Swimming,M,Bitten,N,Broadnose sevengill shark
2009.01.00,2009,Unprovoked,CUBA,Guantanamo Province,Guantanamo,Spearfishing,0,Injured,N,Bull shark
2008.12.27.d,2008,Boat,AUSTRALIA,Tasmania,near Schouten Island,Yacht race,0,No injury,N,2 m shark
2008.12.27.c,2008,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,Boogie Boarding,M,No injury,N,
2008.12.27.b,2008,Unprovoked,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",Kayaking,M,No injury,N,"White shark, 4m to 5m "
2008.12.27.a,2008,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,Snorkeling,M,Fatal,Y,4 to 5m white shark
2008.12.20,2008,Unprovoked,USA,California,"Dillon Beach, Marin County",Kayaking,M,No injury,N,White shark
2008.12.14,2008,Unprovoked,NEW ZEALAND,North Island,Maraetai,Fishing,M,Injured,N,Bronze whaler shark?
2008.12.10,2008,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Fishing,M,Injured,N,"Raggedtooth shark, 2m"
2008.12.06,2008,Boat,AUSTRALIA,New South Wales,Mowarry Point,Fishing,0,Bitten,N,"White shark, 4.5 to 5 m "
2008.12.00,2008,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,Spearfishing,M,Fatal,Y,Zambesi shark?
2008.11.28,2008,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,Scuba diving,F,Injured,N,Oceanic whitetip shark
2008.11.25,2008,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,Sinking of the cargo ship Mark Jason,M,Bitten,N,
2008.11.24,2008,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,,F,Bitten,N,
2008.11.09.b,2008,Boat,AUSTRALIA,South Australia,North Haven,Fishing,M,No injury,N,Bronze whaler shark
2008.11.09.a,2008,Sea Disaster,TAIWAN,,50 miles off Kaohsiung,Fishing boat swamped in storm,M,Fatal,Y,
2008.11.06,2008,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,Fatal,Y,
2008.10.22,2008,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",Scuba diving,M,Injured,N,"Grey nurse shark, 3m"
2008.10.21,2008,Unprovoked,NEW CALEDONIA,,,Spearfishing,M,Bitten,N,Lemon shark
2008.10.12,2008,Provoked,AUSTRALIA,Northern Territory,Darwin,Fishing,M,Injured,N," reef shark, 1.8m"
2008.10.11,2008,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,Surfing,M,No injury,N,
2008.10.08,2008,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",Fishing,M,Injured,N,
2008.10.06,2008,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,Bitten,N,5 m white shark
2008.09.28.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.09.28.a,2008,Unprovoked,USA,Florida,Bethune Beach,Surfing,M,Bitten,N,+3' shark
2008.09.15,2008,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,Swimming,M,Injured,N,Bronze whaler shark
2008.09.14,2008,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,Injured,N,2' to 3' juvenile shark
2008.09.09,2008,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Surfing,M,Bitten,N,Tiger shark
2008.09.08,2008,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,No injury,N,"White shark, 14' to 16' "
2008.09.07,2008,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,Injured,N,3 m shark
2008.09.06.b,2008,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.09.06.a,2008,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.09.01,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,4' shark
2008.09.00,2008,Unprovoked,USA,Florida,Hutchinson Island,Surfing,M,Bitten,N,
2008.08.30.c,2008,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,No injury,N,
2008.08.30.a,2008,Provoked,ENGLAND,North Devon, Lundy Island,Fishing,M,Bitten,N,Blue shark
2008.08.28,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.08.27,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,6' shark
2008.08.24,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",M,Injured,N,
2008.08.20,2008,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,Injured,N,
2008.08.16,2008,Unprovoked,USA,US Virgin Islands,Buck Island,Treading water,F,Severed,N,8' bull shark or Caribbean reef shark
2008.08.12,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,Injured,N,
2008.08.11,2008,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,No injury,N,"Tiger shark, 12'"
2008.07.30.R,2008,Unprovoked,AUSTRALIA,Victoria,Levys Beach,Surfing,M,No injury,N,8' white shark or 7-gill shark
2008.07.30,2008,Unprovoked,SOUTH AFRICA,,,,M,Injured,N,White shark
2008.07.27,2008,Unprovoked,PANAMA,San Carlos,Playa Teta,Swimming or surfing,M,Injured,N,3'  shark
2008.07.26.b,2008,Unprovoked,MEXICO,Cabo San Lucas,,Swimming,M,Injured,N,2'  shark
2008.07.26.a,2008,Unprovoked,USA,Hawaii,"Honokowai, Maui",Swimming,M,Injured,N,2' to 3' reef shark
2008.07.25.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2008.07.25.a,2008,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,Bitten,N,
2008.07.24.b,2008,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,Injured,N,3' shark
2008.07.24.a,2008,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Wading,F,Injured,N,3' to 4' shark
2008.07.23,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2008.07.19,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,4' shark
2008.07.18,2008,Unprovoked,EGYPT,,Daedalus Reef,Diving,M,Severed,N,Oceanic whitetip shark
2008.07.11,2008,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,M,Injured,N,
2008.07.09,2008,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,Injured,N,
2008.07.05,2008,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",,F,Injured,N,
2008.07.00,2008,Boat,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,M,No injury,N,"Starry smoothhound shark, 1m"
2008.06.28.b,2008,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,M,Injured,N,"Bull shark, 6' to 7'"
2008.06.28.a,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing ,M,No injury,N,"White shark, 2m"
2008.06.26.R,2008,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Spearfishing (free diving),M,No injury,N,"White shark, 4.5m"
2008.06.26.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.06.26.a,2008,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Injured,N,4.5 to 5' shark
2008.06.24,2008,Unprovoked,BRAZIL,Bahia,Guarajuba,Surfing,M,No injury,N,
2008.06.21,2008,Unprovoked,USA,California,"West Cove, Catalina Island",Kayaking,F,No injury,N,"White shark, 15'"
2008.06.20,2008,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,F,Injured,N,
2008.06.11,2008,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,Injured,N,
2008.06.07,2008,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Body surfing,M,Injured,N,
2008.06.02.R,2008,Boat,SCOTLAND,Easter Ross,Balintore Bay,Fishing,0,No injury,N,Basking shark
2008.06.01.b,2008,Unprovoked,USA,South Carolina,Cherry Grove,Body surfing,F,Bitten,N,5' shark
2008.06.01.a,2008,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,M,Severed,N,Bull shark
2008.05.26,2008,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,Bitten,N,
2008.05.24.b,2008,Sea Disaster,BAHAMAS,Grand Bahama Island,Off West End,Sea Disaster,M,Injured,N,Tiger sharks in area
2008.05.24.a,2008,Unprovoked,MEXICO,Guerro,Playa Linda,Surfing,M,Injured,N,3 m shark
2008.05.23,2008,Unprovoked,MEXICO,Guerro,Pantla Beach,Surfing,M,Fatal,Y,2 m shark
2008.05.14,2008,Unprovoked,FIJI,Yasawa Islands,Turtle Island,Night diving,M,Fatal,Y,
2008.05.10,2008,Unprovoked,AUSTRALIA,Western Australia,Albany,Swimming,M,Severed,N,"White shark, 4m"
2008.05.07.b,2008,Unprovoked,NEW CALEDONIA,North Province,Hienghène,Fishing,M,Bitten,N,2 small bull sharks
2008.05.07.a,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,
2008.05.01,2008,Provoked,SOUTH AFRICA,,,Fishing,M,Bitten,N,
2008.04.28.b,2008,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,M,Fatal,Y,Tiger shark
2008.04.28.a,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,4' shark
2008.04.27,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2008.04.26.b,2008,Unprovoked,NEW CALEDONIA,North Province,Poindimié,Swimming,M,Injured,N,"Bull shark, 1.8m"
2008.04.26.a,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.04.25,2008,Unprovoked,USA,California,"Solana Beach, San Diego County",Swimming,M,Fatal,Y,"White shark, 12' to 15'"
2008.04.20.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2008.04.20.a,2008,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,,M,Unknown,0,"Tiger shark, 2.3m "
2008.04.15,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Injured,N,1.5' to 2' shark
2008.03.28.a,2008,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,M,Bitten,N,a small shark
2008.04.09.R,2008,Unprovoked,FIJI,,,Spearfishing,M,Bitten,N,
2008.04.08.R,2008,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,0,Bitten,N,
2008.04.08,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,M,Fatal,Y,Bull shark
2008.04.03,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Bitten,N,
2008.03.28.c,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,M,Bitten,N,
2008.03.28.b,2008,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,Bitten,N,4' to 5' shark
2008.03.25,2008,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,Bitten,N,6' shark
2008.03.23,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Injured,N,2.5' shark
2008.03.21,2008,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,Injured,N,
2008.03.15,2008,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,M,Injured,N,Shark involvement not confirmed
2008.03.07,2008,Unprovoked,USA,California," Huntington Beach, Orange County",Surfing,M,No injury,N,White shark
2008.02.24,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,Fatal,Y,"A bull shark, according to some of the divers on the boat"
2008.02.21.R,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,M,Injured,N,
2008.02.15,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,
2008.02.07,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,F,Injured,N,1 m shark
2008.02.06,2008,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,M,Injured,N,3' shark
2008.01.29,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,M,No injury,N,"Blacktip shark, 2m"
2008.01.27,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,Accidentally stood on hooked shark's tail before attempting to gut it ,M,Injured,N,"Mako shark, 90kg"
2008.01.14,2008,Boat,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,0,No injury,N,"Bronze whaler shark, 4m"
2008.01.10,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Bitten,N,a small shark
2008.00.00.b,2008,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,M,Injured,N,"Nurse shark, 10'"
2008.00.00.a,2008,Unprovoked,MEXICO,Baja California,Playas de Tijuana,Surfing,M,Bitten,N,Possibly a hammerhead shark
2007.12.21,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,M,Injured,N,3 m shark
2007.12.18,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,Severed,N,2 m shark
2007.12.15,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,M,Injured,N,"""a small shark"""
2007.12.10,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,M,No injury,N,Tiger shark
2007.12.09,2007,Unprovoked,NEW ZEALAND,South Island,Kaikoura,Surfing,F,No injury,N,
2007.12.07,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,M,Injured,N,2.27 m shark
2007.11.18,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,M,Injured,N,reef shark
2007.11.08,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,No injury,N,
2007.11.07,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,M,Injured,N,1.5 to 2 m shark
2007.11.06,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,4' to 5' shark
2007.11.04,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,Injured,N,5' shark
2007.11.03,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,M,Injured,N,"White shark, 3m to 4m"
2007.10.29,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,M,Injured,N,Tiger shark
2007.10.15,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,F,Injured,N,"White shark, 2.5m "
2007.10.13,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,M,Injured,N,Bronze whaler shark
2007.10.07,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,Injured,N,3' to 4' shark
2007.10.06,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,Severed,N,"Blacktip shark, 5'"
2007.09.30.c,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,M,Injured,N,
2007.09.30.b,2007,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas ",M,Fatal,Y,
2007.09.30.a,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,Fatal,Y,Tiger shark
2007.09.28,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,F,Bitten,N,Caribbean reef shark
2007.09.27.b,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,F,No injury,N,White shark
2007.09.27.a,2007,Unprovoked,EGYPT,Red Sea,Daedalus Reef ,Swimming,F,Severed,N,Oceanic whitetip sharks were in the vicinity
2007.09.22.a,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,F,Injured,N,4' shark
2007.09.20,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3' shark
2007.09.17,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,M,Bitten,N,Gray reef shark
2007.09.16.b,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,M,Injured,N,
2007.09.16.a,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,F,No injury,N,9.5' shark?
2007.09.13,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,Injured,N,"Nurse shark, 2' to 3' "
2007.09.08,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,Injured,N,
2007.09.05,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,Injured,N,
2007.09.04,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,M,Injured,N,
2007.09.03.b,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,F,Injured,N,"18"" to 24"" shark"
2007.09.03.a,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,Injured,N,Possibly a spinner shark
2007.08.28.b,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,M,Injured,N,"Tiger shark, 10' to 12' "
2007.08.28.a,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,Injured,N,"White shark, 12'"
2007.08.26,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,3' shark
2007.08.25,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3' shark
2007.08.22,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,M,Injured,N,Sand shark
2007.08.20,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,M,Bitten,N,Sandtiger shark
2007.08.19.c,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,Bitten,N,
2007.08.19.b,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,4' to 5' shark
2007.08.19.a.,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,M,Bitten,N,
2007.08.15,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,M,Injured,N,Possibly a 6' bull shark
2007.08.12,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,Injured,N, 
2007.08.11,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,M,Injured,N,
2007.08.09.b,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,Injured,N,
2007.08.09.a,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,Injured,N,
2007.08.07,2007,Unprovoked,USA,Florida,"Islamorada, Monroe County",Jumped into the water,F,Injured,N,Possibly a 10' bull shark
2007.07.29,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Injured,N,
2007.07.28,2007,Unprovoked,USA,California,"Imperial Beach, San Diego County",Surfing,M,No injury,N,
2007.07.22,2007,Unprovoked,USA,California,"Malibu, Los Angeles County",Surf paddling,M,No injury,N,"White shark, 12' "
2007.07.21,2007,Boat,USA,California,"Bean Hollow State Beach, San Mateo County",Kayak Fishing,M,No injury,N,White shark
2007.07.19.b,2007,Unprovoked,USA,Hawaii,"Bellows Beach near Wailea Point, Oahu",Snorkeling,M,Severed,N, 
2007.07.19.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,Wading,M,Bitten,N,"Bronze whaler shark, 1.5 m "
2007.07.18.b,2007,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow  County",Swimming,M,Bitten,N,2' to 3' shark
2007.07.18.a,2007,Provoked,NORWAY,Oslo Fjord,Sjøstrand,Scuba diving,M,No injury,N,"3' small spotted catshark, Scyliorhinus canicula"
2007.07.17.a,2007,Unprovoked,USA,North Carolina,"Atlantic Beach, Carteret County",Wading,F,Injured,N,5' shark
2007.07.10,2007,Unprovoked,BAHAMAS,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,Injured,N,"Bull shark, 5' "
2007.07.05,2007,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,Bitten,N,
2007.07.04,2007,Unprovoked,REUNION,,Boucan Canot,Body boarding,M,Injured,N,2 m shark
